Tag,Recap,Catch_Date,Catch_Site,Bottom_Type,Sex,Maturity,Fork_Length,Total_Length,Girth,SST,Salinity,DO,Secchi,Lactate,Redeploy,Photo_Type,Photo_WB,Hex,H,S,Br,R,G,B,Color_Category,Photo_Link,Notes,,,,,,,,,,
UM00213,,3/20/25,,,,,,,,,,,,,,Color Swatch,TRUE,#BC9D6C,37,43,74,188,157,108,,,,,,,,,,,,,
UM00214,,3/23/25,,,,,,,,,,,,,,Color Swatch,TRUE,#704D32,26,55,44,112,77,50,,,,,,,,,,,,,
UM00215,,3/23/25,,,,,,,,,,,,,,Color Swatch,TRUE,#764C33,22,57,46,118,76,51,,,,,,,,,,,,,
UM00216,,4/3/25,,,,,,,,,,,,,,Color Swatch,TRUE,#A17451,26,50,63,161,116,81,,,,,,,,,,,,,
UM00135,,4/13/25,,,,,,,,,,,,,,Color Swatch,TRUE,#74422A,19,64,45,116,66,42,,,,,,,,,,,,,
UM00218,,4/13/25,,,,,,,,,,,,,,Color Swatch,TRUE,#885A38,25,59,53,136,90,56,,,,,,,,,,,,,
UM00219,,4/18/25,,,,,,,,,,,,,,Color Swatch,TRUE,#62412D,23,54,38,98,65,45,,,,,,,,,,,,,
UM00220,,4/18/25,,,,,,,,,,,,,,Color Swatch,TRUE,#71543D,27,46,44,113,84,61,,,,,,,,,,,,,
UM00222,,4/27/25,,,,,,,,,,,,,,Color Swatch,TRUE,#6B4B37,23,49,42,107,75,55,,,,,,,,,,,,,
UM00223,,4/27/25,,,,,,,,,,,,,,Color Swatch,TRUE,#7E5A3D,27,52,49,126,90,61,,,,,,,,,,,,,
UM00230,,4/27/25,,,,,,,,,,,,,,Color Swatch,TRUE,#775437,27,54,47,119,84,55,,,,,,,,,,,,,
FS1364,,4/29/25,,,,,,,,,,,,,,Color Swatch,TRUE,#A98154,32,50,66,169,129,84,,,,,,,,,,,,,
UM00224,,5/4/25,,,,,,,,,,,,,,Color Swatch,TRUE,#755945,25,41,46,117,89,69,,,,,,,,,,,,,
UM00225,,5/6/25,,,,,,,,,,,,,,Color Swatch,TRUE,#856851,27,39,52,133,104,81,,,,,,,,,,,,,
UM00229,,5/9/25,,,,,,,,,,,,,,Color Swatch,TRUE,#95694E,23,48,58,149,105,78,,,,,,,,,,,,,
UM00228,,5/10/25,,,,,,,,,,,,,,Color Swatch,TRUE,#4D3C42,339,22,30,77,60,66,,,,,,,,,,,,,
UM00239,,5/16/25,,,,,,,,,,,,,,Color Swatch,TRUE,#996C44,28,56,60,153,108,68,,,,,,,,,,,,,
UM00240,,5/16/25,,,,,,,,,,,,,,Color Swatch,TRUE,#75553A,27,50,46,117,85,58,,,,,,,,,,,,,
UM00242,,5/18/25,,,,,,,,,,,,,,Color Swatch,TRUE,#6A402F,17,56,42,106,64,47,,,,,,,,,,,,,
UM00243,,5/22/25,,,,,,,,,,,,,,Color Swatch,TRUE,#936F4E,29,47,58,147,111,78,,,,,,,,,,,,,
UM00245,,5/23/25,,,,,,,,,,,,,,Color Swatch,TRUE,#AF8561,28,45,69,175,133,97,,,,,,,,,,,,,
UM00246,,5/23/25,,,,,,,,,,,,,,Color Swatch,TRUE,#7C6048,28,42,49,124,96,72,,,,,,,,,,,,,
UM00247,,5/23/25,,,,,,,,,,,,,,Color Swatch,TRUE,#AF8055,29,51,69,175,128,85,,,,,,,,,,,,,
UM00249,,5/23/25,,,,,,,,,,,,,,Color Swatch,TRUE,#9C643E,24,60,61,156,100,62,,,,,,,,,,,,,
UM00237,,5/30/25,,,,,,,,,,,,,,Color Swatch,TRUE,#B18353,31,53,69,177,131,83,,,,,,,,,,,,,
UM00248,,6/2/25,,,,,,,,,,,,,,Color Swatch,TRUE,#976C4C,26,50,59,151,108,76,,,,,,,,,,,,,
UM00250,,6/2/25,,,,,,,,,,,,,,Color Swatch,TRUE,#895732,26,64,54,137,87,50,,,,,,,,,,,,,
FS0849,,6/6/25,,,,,,,,,,,,,,Color Swatch,TRUE,#927253,30,43,57,146,114,83,,,,,,,,,,,,,
P0110655,,6/6/25,,,,,,,,,,,,,,Color Swatch,TRUE,#997152,26,46,60,153,113,82,,,,,,,,,,,,,
UM00252,,6/6/25,,,,,,,,,,,,,,Color Swatch,TRUE,#836146,27,47,51,131,97,70,,,,,,,,,,,,,
UM00255,,6/9/25,,,,,,,,,,,,,,Color Swatch,TRUE,#9F735C,21,42,62,159,115,92,,,,,,,,,,,,,
UM00256,,6/9/25,,,,,,,,,,,,,,Color Swatch,TRUE,#8B5E3F,24,55,55,139,94,63,,,,,,,,,,,,,
UM00257,,6/13/25,,,,,,,,,,,,,,Color Swatch,TRUE,#956B48,27,52,58,149,107,72,,,,,,,,,,,,,
UM00181,,6/20/25,,,,,,,,,,,,,,Color Swatch,TRUE,#5A4837,29,39,35,90,72,55,,,,,,,,,,,,,
FS0591,,6/23/25,,,,,,,,,,,,,,Color Swatch,TRUE,#7C593D,27,51,49,124,89,61,,,,,,,,,,,,,
UM00259,,6/24/25,,,,,,,,,,,,,,Color Swatch,TRUE,#9C6F4B,27,52,61,156,111,75,,,,,,,,,,,,,
UM00259-R,,6/24/25,,,,,,,,,,,,,Yes,Color Swatch,TRUE,#84624E,22,41,52,132,98,78,,,,,,,,,,,,,
UM00260,,6/24/25,,,,,,,,,,,,,,Color Swatch,TRUE,#7B6251,24,34,48,123,98,81,,,,,,,,,,,,,
UM00261,,6/25/25,,,,,,,,,,,,,,Color Swatch,TRUE,#37261B,24,51,22,55,38,27,,,,,,,,,,,,,
UM00151,,6/27/25,,,,,,,,,,,,,,Color Swatch,TRUE,#564135,22,38,34,86,65,53,,,,,,,,,,,,,
UM00262,,6/28/25,,,,,,,,,,,,,,Color Swatch,TRUE,#7B5E44,28,45,48,123,94,68,,,,,,,,,,,,,
FS1440,,6/29/25,,,,,,,,,,,,,,Color Swatch,TRUE,#735B49,26,37,45,115,91,73,,,,,,,,,,,,,
UM00263,,6/29/25,,,,,,,,,,,,,,Color Swatch,TRUE,#6A5546,25,34,42,106,85,70,,,,,,,,,,,,,
UM00264,,7/2/25,,,,,,,,,,,,,,Color Swatch,TRUE,#553F35,19,38,33,85,63,53,,,,,,,,,,,,,
FS1455,,7/5/25,,,,,,,,,,,,,,Color Swatch,TRUE,#483A36,13,25,28,72,58,54,,,,,,,,,,,,,
FS1456,,7/5/25,,,,,,,,,,,,,,Color Swatch,TRUE,#2C2726,10,14,17,44,39,38,,,,,,,,,,,,,
UM00057,Recap,7/5/25,,,,,,,,,,,,,,Color Swatch,TRUE,#301E11,25,65,19,48,30,17,,,,,,,,,,,,,
FS1464,,7/6/25,,,,,,,,,,,,,,Color Swatch,TRUE,#2C2423,7,20,17,44,36,35,,,,,,,,,,,,,
UM00205,,7/9/25,,,,,,,,,,,,,,Color Swatch,TRUE,#7D583F,24,50,49,125,88,63,,,,,,,,,,,,,
UM00265,,7/9/25,,,,,,,,,,,,,,Color Swatch,TRUE,#533E30,24,42,33,83,62,48,,,,,,,,,,,,,
UM00266,,7/9/25,,,,,,,,,,,,,,Color Swatch,TRUE,#49352B,20,41,29,73,53,43,,,,,,,,,,,,,
FS1470,,7/10/25,,,,,,,,,,,,,,Color Swatch,TRUE,#4F4036,24,32,31,79,64,54,,,,,,,,,,,,,
UM00267,,7/14/25,,,,,,,,,,,,,,Color Swatch,TRUE,#483628,26,44,28,72,54,40,,,,,,,,,,,,,
UM00268,,7/14/25,,,,,,,,,,,,,,Color Swatch,TRUE,#5A422F,27,48,35,90,66,47,,,,,,,,,,,,,
UM00269,,7/14/25,,,,,,,,,,,,,,Color Swatch,TRUE,#775B49,23,39,47,119,91,73,,,,,,,,,,,,,
UM00270,,7/14/25,,,,,,,,,,,,,,Color Swatch,TRUE,#5F4E3F,28,34,37,95,78,63,,,,,,,,,,,,,
UM00057,Recap,7/15/25,,,,,,,,,,,,,,Color Swatch,TRUE,#675344,26,34,40,103,83,68,,,,,,,,,,,,,
UM00260,,7/22/25,,,,,,,,,,,,,,Color Swatch,TRUE,#6E5440,26,42,43,110,84,64,,,,,,,,,,,,,
UM00271,,7/26/25,,,,,,,,,,,,,,Color Swatch,TRUE,#9B6A48,25,54,61,155,106,72,,,,,,,,,,,,,
UM00273,,9/14/25,,,,,,,,,,,,,,Color Swatch,TRUE,#6F5A46,29,37,44,111,90,70,,,,,,,,,,,,,
UM00276,,9/14/25,,,,,,,,,,,,,,Color Swatch,TRUE,#66432A,25,59,40,102,67,42,,,,,,,,,,,,,
UM00277,,9/18/25,,,,,,,,,,,,,,Color Swatch,TRUE,#68544F,12,24,41,104,84,79,,,,,,,,,,,,,
UM00278,,9/18/25,,,,,,,,,,,,,,Color Swatch,TRUE,#463830,22,31,27,70,56,48,,,,,,,,,,,,,
UM00279,,9/20/25,,,,,,,,,,,,,,Color Swatch,TRUE,#A87148,26,57,66,168,113,72,,,,,,,,,,,,,
UM00280,,9/20/25,,,,,,,,,,,,,,Color Swatch,TRUE,#492B1A,22,64,29,73,43,26,,,,,,,,,,,,,
UM00281,,9/23/25,,,,,,,,,,,,,,Color Swatch,TRUE,#4C2D1C,21,63,30,76,45,28,,,,,,,,,,,,,
UM00282,,9/27/25,,,,,,,,,,,,,,Color Swatch,TRUE,#BB8F5D,32,50,73,187,143,93,,,,,,,,,,,,,
UM00283,,9/27/25,,,,,,,,,,,,,,Color Swatch,TRUE,#B27E54,27,53,70,178,126,84,,,,,,,,,,,,,
UM00284,,9/27/25,,,,,,,,,,,,,,Color Swatch,TRUE,#C28B55,30,56,76,194,139,85,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
